size,n_jobs,mode,max_gens,test_acc,OpenCL build,OpenCL run,OpenCL transfer,Fitness calculation,CPU evaluation,elapsed_s
100,1,opencl,5,0.8879790370127743,63.55,1.27,0.39,5.44,0.00,81.69874849299958
100,1,cpu,5,0.7220766459220439,0.00,0.00,0.00,2.44,0.22,8.195786132999274
100,2,opencl,5,0.9204061578774976,14.76,0.29,0.21,0.93,0.00,20.78265192500112
100,2,cpu,5,0.9186046511627908,0.00,0.00,0.00,0.46,0.04,5.342924433000007
100,4,opencl,5,0.9461185718964953,9.53,0.20,0.14,0.42,0.00,15.799983554999926
100,4,cpu,5,0.8150999017359974,0.00,0.00,0.00,0.33,0.03,4.775487359998806
100,6,opencl,5,0.8858499836226662,6.34,0.13,0.08,0.33,0.00,16.170967963000294
100,6,cpu,5,0.7833278742220766,0.00,0.00,0.00,0.23,0.02,7.893280414000401
1000,1,opencl,5,0.9602030789387488,57.63,1.04,0.34,6.22,0.00,75.94714090400157
1000,1,cpu,5,0.7900425810678021,0.00,0.00,0.00,2.68,0.35,9.525269117999414
1000,2,opencl,5,0.9626596790042581,13.78,0.69,1.38,1.15,0.00,21.574467594000453
1000,2,cpu,5,0.8435964624959056,0.00,0.00,0.00,0.78,0.08,5.657647413001541
1000,4,opencl,5,0.8245987553226335,8.36,0.26,0.17,0.67,0.00,14.563926040998922
1000,4,cpu,5,0.7612184736324926,0.00,0.00,0.00,0.46,0.03,5.051749116999417
1000,6,opencl,5,0.943661971830986,4.94,0.12,0.09,0.42,0.00,14.856927704000555
1000,6,cpu,5,0.9041925974451359,0.00,0.00,0.00,0.37,0.05,9.385688850001316
10000,1,opencl,5,0.9348182115951523,59.72,1.59,0.50,18.17,0.00,89.06241895799758
10000,1,cpu,5,0.9204061578774976,0.00,0.00,0.00,11.86,1.91,22.042807145000552
10000,2,opencl,5,0.9112348509662627,11.32,0.48,0.29,2.91,0.00,21.29176689900123
10000,2,cpu,5,0.9485751719620046,0.00,0.00,0.00,2.35,0.52,8.357002045002446
10000,4,opencl,5,0.971830985915493,8.87,0.39,0.26,1.93,0.00,18.635317951997422
10000,4,cpu,5,0.7756305273501474,0.00,0.00,0.00,1.32,0.25,7.760640765001881
10000,6,opencl,5,0.8971503439240092,5.30,0.27,0.14,1.27,0.00,17.81358309999996
10000,6,cpu,5,0.7520471667212578,0.00,0.00,0.00,1.23,0.24,10.492488791998767
100000,1,opencl,5,0.9133639043563708,66.81,3.54,2.48,118.30,0.00,204.70236385099997
100000,1,cpu,5,0.8643956763838847,0.00,0.00,0.00,87.57,23.23,118.88723913300055
100000,2,opencl,5,0.9020635440550278,13.47,1.88,0.79,20.30,0.00,45.284995431000425
100000,2,cpu,5,0.8503111693416312,0.00,0.00,0.00,19.33,8.82,34.56189207599891
100000,4,opencl,5,0.9672453324598755,7.24,1.23,0.38,13.30,0.00,28.736921386000176
100000,4,cpu,5,0.9041925974451359,0.00,0.00,0.00,11.15,4.84,24.173125454999536
100000,6,opencl,5,0.9394038650507697,6.13,1.00,0.33,10.59,0.00,27.424080826996942
100000,6,cpu,5,0.9369472649852604,0.00,0.00,0.00,10.74,4.82,25.067784808998113
1000000,1,opencl,5,0.5720602685882739,63.34,44.00,4.95,843.47,0.00,987.1311593639984
1000000,1,cpu,5,0.9394038650507697,0.00,0.00,0.00,770.72,221.22,1015.4688966169997
1000000,2,opencl,5,0.9439895185063871,13.04,18.18,3.46,188.89,0.00,240.17402706900248
1000000,2,cpu,5,0.8763511300360302,0.00,0.00,0.00,177.25,76.81,271.2283239669996
1000000,4,opencl,5,0.9556174254831313,9.12,10.39,2.44,108.12,0.00,143.89515026799927
1000000,4,cpu,5,0.9066491975106452,0.00,0.00,0.00,109.47,50.81,175.61592759499763
1000000,6,opencl,5,0.806583688175565,8.27,8.14,2.55,92.23,0.00,124.84410592799759
1000000,6,cpu,5,0.9344906649197511,0.00,0.00,0.00,94.99,43.63,156.5393535129988
